"Date","Year","Month","Day","Deaths","Population"
2000-01-01,2000,1,1,4258,4471885
2000-02-01,2000,2,1,3459,4472392.34972678
2000-03-01,2000,3,1,3468,4472866.96721311
2000-04-01,2000,4,1,3239,4473374.31693989
2000-05-01,2000,5,1,3305,4473865.30054645
2000-06-01,2000,6,1,3119,4474372.65027322
2000-07-01,2000,7,1,3304,4474863.63387978
2000-08-01,2000,8,1,3284,4475370.98360656
2000-09-01,2000,9,1,3248,4475878.33333333
2000-10-01,2000,10,1,3332,4476369.31693989
2000-11-01,2000,11,1,3355,4476876.66666667
2000-12-01,2000,12,1,3767,4477367.65027322
2001-01-01,2001,1,1,4180,4477875
2001-02-01,2001,2,1,3437,4479521.99178082
2001-03-01,2001,3,1,3749,4481009.59726027
2001-04-01,2001,4,1,3612,4482656.5890411
2001-05-01,2001,5,1,3512,4484250.45205479
2001-06-01,2001,6,1,3250,4485897.44383562
2001-07-01,2001,7,1,3294,4487491.30684931
2001-08-01,2001,8,1,3224,4489138.29863014
2001-09-01,2001,9,1,3188,4490785.29041096
2001-10-01,2001,10,1,3428,4492379.15342466
2001-11-01,2001,11,1,3375,4494026.14520548
2001-12-01,2001,12,1,3508,4495620.00821918
2002-01-01,2002,1,1,3856,4497267
2002-02-01,2002,2,1,3626,4499286.24657534
2002-03-01,2002,3,1,3828,4501110.08219178
2002-04-01,2002,4,1,3322,4503129.32876712
2002-05-01,2002,5,1,3448,4505083.43835616
2002-06-01,2002,6,1,3278,4507102.68493151
2002-07-01,2002,7,1,3364,4509056.79452055
2002-08-01,2002,8,1,3346,4511076.04109589
2002-09-01,2002,9,1,3271,4513095.28767123
2002-10-01,2002,10,1,3360,4515049.39726027
2002-11-01,2002,11,1,3520,4517068.64383562
2002-12-01,2002,12,1,3765,4519022.75342466
2003-01-01,2003,1,1,3951,4521042
2003-02-01,2003,2,1,3429,4523691.52328767
2003-03-01,2003,3,1,3684,4526084.64109589
2003-04-01,2003,4,1,3572,4528734.16438356
2003-05-01,2003,5,1,3402,4531298.21917808
2003-06-01,2003,6,1,3391,4533947.74246575
2003-07-01,2003,7,1,3362,4536511.79726027
2003-08-01,2003,8,1,3454,4539161.32054794
2003-09-01,2003,9,1,3306,4541810.84383562
2003-10-01,2003,10,1,3533,4544374.89863014
2003-11-01,2003,11,1,3634,4547024.42191781
2003-12-01,2003,12,1,4001,4549588.47671233
2004-01-01,2004,1,1,3791,4552238
2004-02-01,2004,2,1,3614,4554303.81967213
2004-03-01,2004,3,1,3676,4556236.36065574
2004-04-01,2004,4,1,3554,4558302.18032787
2004-05-01,2004,5,1,3402,4560301.36065574
2004-06-01,2004,6,1,3383,4562367.18032787
2004-07-01,2004,7,1,3480,4564366.36065574
2004-08-01,2004,8,1,3432,4566432.18032787
2004-09-01,2004,9,1,3370,4568498
2004-10-01,2004,10,1,3470,4570497.18032787
2004-11-01,2004,11,1,3342,4572563
2004-12-01,2004,12,1,3701,4574562.18032787
2005-01-01,2005,1,1,3900,4576628
2005-02-01,2005,2,1,3851,4553359.90958904
2005-03-01,2005,3,1,3876,4532343.56986301
2005-04-01,2005,4,1,3449,4509075.47945205
2005-05-01,2005,5,1,3654,4486557.97260274
2005-06-01,2005,6,1,3339,4463289.88219178
2005-07-01,2005,7,1,3458,4440772.37534247
2005-08-01,2005,8,1,4126,4417504.28493151
2005-09-01,2005,9,1,3536,4394236.19452055
2005-10-01,2005,10,1,3726,4371718.68767123
2005-11-01,2005,11,1,3554,4348450.59726027
2005-12-01,2005,12,1,3886,4325933.09041096
2006-01-01,2006,1,1,3760,4302665
2006-02-01,2006,2,1,3390,4308857.86575342
2006-03-01,2006,3,1,3601,4314451.42191781
2006-04-01,2006,4,1,3333,4320644.28767123
2006-05-01,2006,5,1,3353,4326637.38356164
2006-06-01,2006,6,1,3206,4332830.24931507
2006-07-01,2006,7,1,3142,4338823.34520548
2006-08-01,2006,8,1,3095,4345016.2109589
2006-09-01,2006,9,1,3083,4351209.07671233
2006-10-01,2006,10,1,3228,4357202.17260274
2006-11-01,2006,11,1,3276,4363395.03835616
2006-12-01,2006,12,1,3578,4369388.13424658
2007-01-01,2007,1,1,3613,4375581
2007-02-01,2007,2,1,3234,4380677.31506849
2007-03-01,2007,3,1,3660,4385280.43835616
2007-04-01,2007,4,1,3334,4390376.75342466
2007-05-01,2007,5,1,3330,4395308.67123288
2007-06-01,2007,6,1,3099,4400404.98630137
2007-07-01,2007,7,1,3261,4405336.90410959
2007-08-01,2007,8,1,3240,4410433.21917808
2007-09-01,2007,9,1,3070,4415529.53424658
2007-10-01,2007,10,1,3241,4420461.45205479
2007-11-01,2007,11,1,3332,4425557.76712329
2007-12-01,2007,12,1,3552,4430489.68493151
2008-01-01,2008,1,1,3769,4435586
2008-02-01,2008,2,1,3550,4440334.42076503
2008-03-01,2008,3,1,3721,4444776.49180328
2008-04-01,2008,4,1,3310,4449524.91256831
2008-05-01,2008,5,1,3345,4454120.15846995
2008-06-01,2008,6,1,3183,4458868.57923497
2008-07-01,2008,7,1,3176,4463463.82513661
2008-08-01,2008,8,1,3217,4468212.24590164
2008-09-01,2008,9,1,3441,4472960.66666667
2008-10-01,2008,10,1,3409,4477555.91256831
2008-11-01,2008,11,1,3418,4482304.33333333
2008-12-01,2008,12,1,3681,4486899.57923497
