"Date","Causes","Deaths"
"2015-01-01","[I00, I99]",33
"2015-01-01","[G00, G99]",9
"2015-01-01","[E00, E99]",16
"2015-01-01","[A00, B99]",6
"2015-01-01","[C00, D49]",16
"2015-01-01","[N00, N99]",7
"2015-01-01","[J00, J99]",4
"2015-01-01","[K00, K93]",3
"2015-01-01","[D50, D89]",1
"2015-01-01","[V01, Y99]",6
"2015-01-01","[M00, M99]",2
"2015-01-01","[L00, L99]",2
"2015-01-01","[R00, R99]",2
"2015-01-01","[F01, F99]",0
"2015-01-01","[P00, P96]",0
"2015-01-01","[Q00, Q99]",0
"2015-01-01","[O00, O99]",0
"2015-01-01","[H00, H59]",0
"2015-01-01","[H60, H95]",0
"2015-01-02","[I00, I99]",31
"2015-01-02","[G00, G99]",11
"2015-01-02","[E00, E99]",16
"2015-01-02","[A00, B99]",2
"2015-01-02","[C00, D49]",9
"2015-01-02","[N00, N99]",5
"2015-01-02","[J00, J99]",9
"2015-01-02","[K00, K93]",5
"2015-01-02","[D50, D89]",1
"2015-01-02","[V01, Y99]",3
"2015-01-02","[M00, M99]",0
"2015-01-02","[L00, L99]",0
"2015-01-02","[R00, R99]",5
"2015-01-02","[F01, F99]",4
"2015-01-02","[P00, P96]",0
"2015-01-02","[Q00, Q99]",0
"2015-01-02","[O00, O99]",0
"2015-01-02","[H00, H59]",0
"2015-01-02","[H60, H95]",0
"2015-01-03","[I00, I99]",17
"2015-01-03","[G00, G99]",12
"2015-01-03","[E00, E99]",12
"2015-01-03","[A00, B99]",2
"2015-01-03","[C00, D49]",9
"2015-01-03","[N00, N99]",4
"2015-01-03","[J00, J99]",7
"2015-01-03","[K00, K93]",5
"2015-01-03","[D50, D89]",0
"2015-01-03","[V01, Y99]",4
"2015-01-03","[M00, M99]",0
"2015-01-03","[L00, L99]",1
"2015-01-03","[R00, R99]",2
"2015-01-03","[F01, F99]",3
"2015-01-03","[P00, P96]",0
"2015-01-03","[Q00, Q99]",0
"2015-01-03","[O00, O99]",0
"2015-01-03","[H00, H59]",0
"2015-01-03","[H60, H95]",0
"2015-01-04","[I00, I99]",30
"2015-01-04","[G00, G99]",10
"2015-01-04","[E00, E99]",11
"2015-01-04","[A00, B99]",6
"2015-01-04","[C00, D49]",20
"2015-01-04","[N00, N99]",7
"2015-01-04","[J00, J99]",14
"2015-01-04","[K00, K93]",4
"2015-01-04","[D50, D89]",3
"2015-01-04","[V01, Y99]",12
"2015-01-04","[M00, M99]",1
"2015-01-04","[L00, L99]",0
"2015-01-04","[R00, R99]",1
"2015-01-04","[F01, F99]",2
"2015-01-04","[P00, P96]",0
"2015-01-04","[Q00, Q99]",0
"2015-01-04","[O00, O99]",0
"2015-01-04","[H00, H59]",0
"2015-01-04","[H60, H95]",0
"2015-01-05","[I00, I99]",24
"2015-01-05","[G00, G99]",13
"2015-01-05","[E00, E99]",20
"2015-01-05","[A00, B99]",2
"2015-01-05","[C00, D49]",19
"2015-01-05","[N00, N99]",3
"2015-01-05","[J00, J99]",3
"2015-01-05","[K00, K93]",5
"2015-01-05","[D50, D89]",2
"2015-01-05","[V01, Y99]",1
"2015-01-05","[M00, M99]",0
"2015-01-05","[L00, L99]",1
"2015-01-05","[R00, R99]",3
"2015-01-05","[F01, F99]",2
"2015-01-05","[P00, P96]",1
"2015-01-05","[Q00, Q99]",0
"2015-01-05","[O00, O99]",0
"2015-01-05","[H00, H59]",0
"2015-01-05","[H60, H95]",0
"2015-01-06","[I00, I99]",31
"2015-01-06","[G00, G99]",9
"2015-01-06","[E00, E99]",19
"2015-01-06","[A00, B99]",4
"2015-01-06","[C00, D49]",16
"2015-01-06","[N00, N99]",6
"2015-01-06","[J00, J99]",5
"2015-01-06","[K00, K93]",1
"2015-01-06","[D50, D89]",1
"2015-01-06","[V01, Y99]",3
"2015-01-06","[M00, M99]",1
"2015-01-06","[L00, L99]",0
"2015-01-06","[R00, R99]",2
"2015-01-06","[F01, F99]",4
"2015-01-06","[P00, P96]",1
"2015-01-06","[Q00, Q99]",0
"2015-01-06","[O00, O99]",0
"2015-01-06","[H00, H59]",0
"2015-01-06","[H60, H95]",0
"2015-01-07","[I00, I99]",20
"2015-01-07","[G00, G99]",8
"2015-01-07","[E00, E99]",10
"2015-01-07","[A00, B99]",3
"2015-01-07","[C00, D49]",12
"2015-01-07","[N00, N99]",4
"2015-01-07","[J00, J99]",10
"2015-01-07","[K00, K93]",3
"2015-01-07","[D50, D89]",1
"2015-01-07","[V01, Y99]",3
"2015-01-07","[M00, M99]",1
"2015-01-07","[L00, L99]",2
"2015-01-07","[R00, R99]",1
"2015-01-07","[F01, F99]",0
"2015-01-07","[P00, P96]",0
"2015-01-07","[Q00, Q99]",0
"2015-01-07","[O00, O99]",0
"2015-01-07","[H00, H59]",0
"2015-01-07","[H60, H95]",0
"2015-01-08","[I00, I99]",19
"2015-01-08","[G00, G99]",4
"2015-01-08","[E00, E99]",9
"2015-01-08","[A00, B99]",6
"2015-01-08","[C00, D49]",10
"2015-01-08","[N00, N99]",2
"2015-01-08","[J00, J99]",6
"2015-01-08","[K00, K93]",6
"2015-01-08","[D50, D89]",1
"2015-01-08","[V01, Y99]",1
"2015-01-08","[M00, M99]",1
"2015-01-08","[L00, L99]",3
"2015-01-08","[R00, R99]",3
"2015-01-08","[F01, F99]",1
"2015-01-08","[P00, P96]",1
"2015-01-08","[Q00, Q99]",0
"2015-01-08","[O00, O99]",0
"2015-01-08","[H00, H59]",0
"2015-01-08","[H60, H95]",0
"2015-01-09","[I00, I99]",24
"2015-01-09","[G00, G99]",7
"2015-01-09","[E00, E99]",10
"2015-01-09","[A00, B99]",3
"2015-01-09","[C00, D49]",18
"2015-01-09","[N00, N99]",7
"2015-01-09","[J00, J99]",8
"2015-01-09","[K00, K93]",4
"2015-01-09","[D50, D89]",0
"2015-01-09","[V01, Y99]",3
"2015-01-09","[M00, M99]",0
"2015-01-09","[L00, L99]",3
"2015-01-09","[R00, R99]",1
"2015-01-09","[F01, F99]",1
"2015-01-09","[P00, P96]",1
"2015-01-09","[Q00, Q99]",0
"2015-01-09","[O00, O99]",0
"2015-01-09","[H00, H59]",0
"2015-01-09","[H60, H95]",0
"2015-01-10","[I00, I99]",15
"2015-01-10","[G00, G99]",7
"2015-01-10","[E00, E99]",9
"2015-01-10","[A00, B99]",1
"2015-01-10","[C00, D49]",9
"2015-01-10","[N00, N99]",5
"2015-01-10","[J00, J99]",10
"2015-01-10","[K00, K93]",4
"2015-01-10","[D50, D89]",2
"2015-01-10","[V01, Y99]",6
"2015-01-10","[M00, M99]",2
"2015-01-10","[L00, L99]",0
"2015-01-10","[R00, R99]",3
"2015-01-10","[F01, F99]",1
"2015-01-10","[P00, P96]",1
"2015-01-10","[Q00, Q99]",0
"2015-01-10","[O00, O99]",0
"2015-01-10","[H00, H59]",0
"2015-01-10","[H60, H95]",0
"2015-01-11","[I00, I99]",27
"2015-01-11","[G00, G99]",8
"2015-01-11","[E00, E99]",8
"2015-01-11","[A00, B99]",5
"2015-01-11","[C00, D49]",14
"2015-01-11","[N00, N99]",4
"2015-01-11","[J00, J99]",8
"2015-01-11","[K00, K93]",4
"2015-01-11","[D50, D89]",1
"2015-01-11","[V01, Y99]",5
"2015-01-11","[M00, M99]",0
"2015-01-11","[L00, L99]",1
"2015-01-11","[R00, R99]",1
"2015-01-11","[F01, F99]",2
"2015-01-11","[P00, P96]",0
"2015-01-11","[Q00, Q99]",0
"2015-01-11","[O00, O99]",0
"2015-01-11","[H00, H59]",0
"2015-01-11","[H60, H95]",0
"2015-01-12","[I00, I99]",18
"2015-01-12","[G00, G99]",8
"2015-01-12","[E00, E99]",17
"2015-01-12","[A00, B99]",3
"2015-01-12","[C00, D49]",16
"2015-01-12","[N00, N99]",4
"2015-01-12","[J00, J99]",8
"2015-01-12","[K00, K93]",4
"2015-01-12","[D50, D89]",0
"2015-01-12","[V01, Y99]",3
"2015-01-12","[M00, M99]",0
"2015-01-12","[L00, L99]",0
"2015-01-12","[R00, R99]",0
"2015-01-12","[F01, F99]",3
"2015-01-12","[P00, P96]",1
"2015-01-12","[Q00, Q99]",0
"2015-01-12","[O00, O99]",0
"2015-01-12","[H00, H59]",0
"2015-01-12","[H60, H95]",0
"2015-01-13","[I00, I99]",24
"2015-01-13","[G00, G99]",5
